"","Source","Fluency_Readability","Coherence_Logical.Flow","Lexical_Syntactic","Judge"
"1","LLM_Org",5,5,4,"A"
"2","LLM_Org",4,3,5,"A"
"3","LLM_Org",4,5,5,"A"
"4","LLM_Org",4,4,3,"A"
"5","LLM_Org",5,5,5,"A"
"6","LLM_Org",4,5,5,"A"
"7","LLM_Org",3,4,3,"A"
"8","LLM_Org",5,5,4,"A"
"9","LLM_Org",5,5,4,"A"
"10","LLM_Org",4,4,4,"A"
"11","LLM_Org",5,5,4,"A"
"12","LLM_Org",5,5,4,"A"
"13","LLM_Org",4,5,4,"A"
"14","LLM_Org",4,4,3,"A"
"15","LLM_Org",5,5,3,"A"
"16","LLM_Org",4,5,4,"A"
"17","LLM_Org",4,5,5,"A"
"18","LLM_Org",4,5,5,"A"
"19","LLM_Org",5,5,5,"A"
"20","LLM_Org",4,5,4,"A"
"21","LLM_Org",5,5,5,"A"
"22","LLM_Org",5,5,5,"A"
"23","LLM_Org",5,5,3,"A"
"24","LLM_Org",4,4,2,"A"
"25","LLM_Org",5,5,5,"A"
"26","LLM_Org",4,5,5,"A"
"27","LLM_Org",5,5,5,"A"
"28","LLM_Org",5,5,4,"A"
"29","LLM_Org",5,5,5,"A"
"30","LLM_Org",5,5,3,"A"
"31","LLM_Org",5,5,4,"A"
"32","LLM_Org",5,5,4,"A"
"33","LLM_Org",4,5,3,"A"
"34","LLM_Org",4,3,3,"A"
"35","LLM_Org",3,4,2,"A"
"36","LLM_Org",5,5,5,"A"
"37","LLM_Org",5,5,4,"A"
"38","LLM_Org",5,5,4,"A"
"39","LLM_Org",5,5,3,"A"
"40","LLM_Org",4,5,4,"A"
"41","LLM_Org",5,5,5,"A"
"42","LLM_Org",5,5,3,"A"
"43","LLM_Org",5,5,5,"A"
"44","LLM_Org",4,5,5,"A"
"45","LLM_Org",5,5,4,"A"
"46","LLM_Org",3,5,5,"A"
"47","LLM_Org",4,4,2,"A"
"48","LLM_Org",4,5,5,"A"
"49","LLM_Org",5,5,5,"A"
"50","LLM_Org",4,4,3,"A"
"51","LLM_New",5,4,4,"A"
"52","LLM_New",4,4,4,"A"
"53","LLM_New",5,5,5,"A"
"54","LLM_New",3,5,5,"A"
"55","LLM_New",5,5,5,"A"
"56","LLM_New",5,5,1,"A"
"57","LLM_New",5,5,4,"A"
"58","LLM_New",3,4,5,"A"
"59","LLM_New",3,5,4,"A"
"60","LLM_New",3,5,4,"A"
"61","LLM_New",3,5,4,"A"
"62","LLM_New",3,5,4,"A"
"63","LLM_New",5,5,1,"A"
"64","LLM_New",3,3,3,"A"
"65","LLM_New",4,4,5,"A"
"66","LLM_New",5,4,4,"A"
"67","LLM_New",5,5,5,"A"
"68","LLM_New",5,5,5,"A"
"69","LLM_New",5,5,5,"A"
"70","LLM_New",4,4,5,"A"
"71","LLM_New",3,3,3,"A"
"72","LLM_New",5,5,5,"A"
"73","LLM_New",3,2,2,"A"
"74","LLM_New",3,2,3,"A"
"75","LLM_New",3,4,5,"A"
"76","LLM_New",3,4,5,"A"
"77","LLM_New",5,5,5,"A"
"78","LLM_New",5,5,5,"A"
"79","LLM_New",5,5,5,"A"
"80","LLM_New",5,5,5,"A"
"81","LLM_New",5,4,4,"A"
"82","LLM_New",4,5,4,"A"
"83","LLM_New",5,5,4,"A"
